Time,Sent,Received,In (kb/s),Out (kb/s)
0.5022525820022565,3,1,-4.507874509875688e-06,-5.63484313734461e-06
1.002545266001107,0,0,0.0,0.0
1.5024496160003764,0,0,0.0,0.0
2.0021316679994925,0,0,0.0,0.0
2.502136546001566,0,0,0.0,0.0
3.0023228290010593,0,0,0.0,0.0
3.5025436890027777,0,0,0.0,0.0
4.0020914020024065,0,0,0.0,0.0
4.501987714000279,0,0,0.0,0.0
5.002213153002231,0,0,0.0,0.0
5.502109067001584,0,0,0.0,0.0
6.002045020002697,0,0,0.0,0.0
6.502007237999351,0,0,0.0,0.0
7.002108954002324,0,0,0.0,0.0
7.502196774999902,0,0,0.0,0.0
8.002154142999643,0,0,0.0,0.0
8.502433568002743,0,0,0.0,0.0
9.002675855001144,0,0,0.0,0.0
9.502101587000652,0,0,0.0,0.0
10.002323010001419,0,0,0.0,0.0
10.502147019000404,0,0,0.0,0.0
11.002176460002374,0,0,0.0,0.0
11.50217384500138,0,0,0.0,0.0
12.00215951300197,0,0,0.0,0.0
12.502095315001498,0,0,0.0,0.0
13.002217342000222,0,0,0.0,0.0
13.502222311002697,0,0,0.0,0.0
14.00208153100175,0,0,0.0,0.0
14.502045452001767,0,0,0.0,0.0
15.002120444001775,0,0,0.0,0.0
15.502217510002083,0,0,0.0,0.0
16.002031651001744,0,0,0.0,0.0
16.50204310800109,0,0,0.0,0.0
17.00218707699969,0,0,0.0,0.0
17.502055930002825,0,0,0.0,0.0
18.00209710800118,0,0,0.0,0.0
18.502960992002045,0,0,0.0,0.0
19.00212668400127,0,0,0.0,0.0
19.50222976800069,0,0,0.0,0.0
20.002205750999565,0,0,0.0,0.0
20.50215289100015,0,0,0.0,0.0
21.00267780500144,0,0,0.0,0.0
21.50230542400095,0,0,0.0,0.0
22.002226339001936,0,0,0.0,0.0
22.50235888700263,0,0,0.0,0.0
23.00205792500128,0,0,0.0,0.0
23.50252567899952,0,0,0.0,0.0
24.00235765099933,0,0,0.0,0.0
24.5021023900008,0,0,0.0,0.0
25.00224365500253,0,0,0.0,0.0
25.502078513000015,0,0,0.0,0.0
26.00211936100095,0,0,0.0,0.0
26.50240599600147,0,0,0.0,0.0
27.002235023999674,0,0,0.0,0.0
27.502419216001726,0,0,0.0,0.0
28.00233808300254,0,0,0.0,0.0
28.502129487002094,0,0,0.0,0.0
29.002332432999538,0,0,0.0,0.0
29.502192863001255,0,0,0.0,0.0
30.002146831000573,0,0,0.0,0.0
30.50236237200079,0,0,0.0,0.0
31.002389905999735,0,0,0.0,0.0
31.5029650280012,0,0,0.0,0.0
32.00236907500221,0,0,0.0,0.0
32.50217703900125,0,0,0.0,0.0
33.00227787900076,0,0,0.0,0.0
33.50207831800071,0,0,0.0,0.0
34.002086562999466,0,0,0.0,0.0
34.50224344000162,0,0,0.0,0.0
35.00214079000216,0,0,0.0,0.0
35.502152897002816,0,0,0.0,0.0
36.00249790200178,0,0,0.0,0.0
36.50222799400217,0,0,0.0,0.0
37.00234972399994,0,0,0.0,0.0
37.502334070999495,0,0,0.0,0.0
38.002152831002604,0,0,0.0,0.0
38.502487679001206,0,0,0.0,0.0
39.00213247400097,0,0,0.0,0.0
39.50198925100267,0,0,0.0,0.0
40.002031202999206,0,0,0.0,0.0
40.50215061600102,0,0,0.0,0.0
41.00222583300274,0,0,0.0,0.0
41.50235210900064,0,0,0.0,0.0
42.0023188060004,0,0,0.0,0.0
42.50221405300181,0,0,0.0,0.0
43.00207453300027,0,0,0.0,0.0
43.50214385300205,0,0,0.0,0.0
44.00226682900029,0,0,0.0,0.0
44.502158270999644,0,0,0.0,0.0
45.00211014500019,0,0,0.0,0.0
45.502461325002514,0,0,0.0,0.0
46.00213069500023,0,0,0.0,0.0
46.50278348400025,0,0,0.0,0.0
47.00222126500012,0,0,0.0,0.0
47.50208419500268,0,0,0.0,0.0
48.00202669400096,0,0,0.0,0.0
48.50206243900175,0,0,0.0,0.0
49.00240614500217,0,0,0.0,0.0
49.502694467002584,0,0,0.0,0.0
50.00212140599979,0,0,0.0,0.0
50.50212205400021,0,0,0.0,0.0
51.00211573300112,0,0,0.0,0.0
51.502107110001816,0,0,0.0,0.0
52.00234309900043,0,0,0.0,0.0
52.50224949200128,0,0,0.0,0.0
53.00212523799928,0,0,0.0,0.0
53.50255611499961,0,0,0.0,0.0
54.00217897000039,0,0,0.0,0.0
54.502083931001835,0,0,0.0,0.0
55.00217748900104,0,0,0.0,0.0
55.502107611999236,0,0,0.0,0.0
56.002893771001254,0,0,0.0,0.0
56.502221498001745,0,0,0.0,0.0
57.00210897800207,0,0,0.0,0.0
57.50221738000255,0,0,0.0,0.0
58.002180520001275,0,0,0.0,0.0
58.50206634300048,0,0,0.0,0.0
59.00245045600241,0,0,0.0,0.0
59.50215784300235,0,0,0.0,0.0
60.00217158400119,0,0,0.0,0.0
60.50215676100197,0,0,0.0,0.0
61.002119394001056,0,0,0.0,0.0
61.50470415000018,0,0,0.0,0.0
62.00319453600241,0,0,0.0,0.0
62.5020718650012,0,0,0.0,0.0
63.00275170000168,0,0,0.0,0.0
63.50229390200184,0,0,0.0,0.0
64.00209056300082,0,0,0.0,0.0
64.5021489360006,0,0,0.0,0.0
65.00219419200221,0,0,0.0,0.0
65.5026904410006,0,0,0.0,0.0
