Time,Sent,Received,In (kb/s),Out (kb/s)
0.5015513979997195,0,0,-0.0,-0.0
1.0015686939996158,0,0,0.0,0.0
1.5016295719997288,0,0,0.0,0.0
2.0014771819996895,0,0,0.0,0.0
2.501376266999614,0,0,0.0,0.0
3.001315536999755,0,0,0.0,0.0
3.5014231949999157,0,0,0.0,0.0
4.001497077999829,2,2,0.20996991257119343,0.16797593005695477
4.5015527329996985,0,0,0.0,0.0
5.002071041999898,0,0,0.0,0.0
5.5131273949996285,0,0,0.0,0.0
6.013517015999696,0,0,0.0,0.0
6.501255133999621,0,0,0.0,0.0
7.001371005999772,0,0,0.0,0.0
7.5023525589999736,0,0,0.0,0.0
8.001291426999614,0,0,0.0,0.0
8.501209328999721,0,0,0.0,0.0
9.00123397399966,0,0,0.0,0.0
9.509814086000006,0,0,0.0,0.0
10.010167711999657,0,0,0.0,0.0
10.501244832999873,0,0,0.0,0.0
11.001408936999724,0,0,0.0,0.0
11.501840952999828,0,0,0.0,0.0
12.001179632999992,0,0,0.0,0.0
12.501216515999658,0,0,0.0,0.0
13.00120991499989,0,0,0.0,0.0
13.508143006999944,0,0,0.0,0.0
14.008198172999982,0,0,0.0,0.0
14.501303939999616,0,0,0.0,0.0
15.019788668999809,0,0,0.0,0.0
15.521639828999923,0,0,0.0,0.0
16.002774460999717,0,0,0.0,0.0
16.501857284999915,0,0,0.0,0.0
17.002244697999686,0,0,0.0,0.0
17.501795066999875,0,0,0.0,0.0
18.00162873699992,0,0,0.0,0.0
18.501540700999612,0,0,0.0,0.0
19.001268030999654,0,0,0.0,0.0
19.501418808999915,0,0,0.0,0.0
20.001348076999875,0,0,0.0,0.0
20.50132399999984,0,0,0.0,0.0
21.00142112399999,0,0,0.0,0.0
21.501429690999885,0,0,0.0,0.0
