Time,Sent,Received,In (kb/s),Out (kb/s)
1.5023390569986077,2,0,-0.0,-1.5232006616814084e-06
2.002245702999062,0,0,0.0,0.0
2.503859835000185,0,0,0.0,0.0
3.002398777000053,0,0,0.0,0.0
3.502486034998583,0,0,0.0,0.0
4.002435008998873,0,0,0.0,0.0
4.501895023997349,0,0,0.0,0.0
5.001966430998436,0,0,0.0,0.0
5.502537764998124,0,0,0.0,0.0
6.001721769000142,0,0,0.0,0.0
6.502954364998004,28,2841,1497.1153262656803,0.837934332660698
7.042158386997471,41,4203,2059.0107730158334,1.1275929949087902
7.506035420999979,0,0,0.0,0.0
8.006463375000749,0,0,0.0,0.0
8.502289194999321,0,0,0.0,0.0
9.001986470000702,1,0,0.0,0.05003025589731784
9.50186491400018,0,0,0.0,0.0
10.002203195999755,0,0,0.0,0.0
10.50192687299932,0,0,0.0,0.0
11.002078819998133,0,0,0.0,0.0
11.503335170997161,0,0,0.0,0.0
12.003344153999933,0,0,0.0,0.0
12.501819557997806,0,0,0.0,0.0
13.0017118379983,0,0,0.0,0.0
13.50215335199755,0,0,0.0,0.0
14.002259697997943,12,1292,682.5468277495753,0.3599234471618934
14.502707568997721,40,4053,2139.9114867048484,1.1989262368620714
15.00412533099734,17,1699,894.6157950033727,0.5085593885657026
15.502359578000323,0,0,0.0,0.0
16.001847272000305,0,0,0.0,0.0
16.502379375997407,1,0,0.0,0.04994683229621366
17.00287942399882,0,0,0.0,0.0
17.50181844599865,0,0,0.0,0.0
18.002288323998073,0,0,0.0,0.0
18.502561809000326,0,0,0.0,0.0
19.002913307998824,0,0,0.0,0.0
19.50251820199992,0,0,0.0,0.0
20.00212428499799,0,0,0.0,0.0
20.502190693998273,0,0,0.0,0.0
21.002420043998427,0,0,0.0,0.0
21.502769381997496,0,22,11.264118991598023,0.0
