Time,Sent,Received,In (kb/s),Out (kb/s)
0.5021264870010782,3,1,-6.411192395309065e-07,-8.013990494136331e-07
1.0022331939981086,0,0,0.0,0.0
1.5021049799979664,0,0,0.0,0.0
2.002258020991576,0,0,0.0,0.0
2.502580518994364,0,0,0.0,0.0
3.0027831759944092,0,0,0.0,0.0
3.523605428999872,0,0,0.0,0.0
4.0266188489913475,0,0,0.0,0.0
4.505096549997688,0,0,0.0,0.0
5.002331603987841,0,0,0.0,0.0
5.504007000999991,0,0,0.0,0.0
6.002334320000955,0,0,0.0,0.0
6.502175804998842,0,0,0.0,0.0
7.016988310992019,0,0,0.0,0.0
7.543477546991198,0,0,0.0,0.0
8.030294509997475,0,0,0.0,0.0
8.505566224994254,0,0,0.0,0.0
9.00385563999589,0,0,0.0,0.0
9.516942958987784,0,0,0.0,0.0
10.034863250999479,0,0,0.0,0.0
10.521037757993327,0,0,0.0,0.0
