Time,Sent,Received,In (kb/s),Out (kb/s)
0.5018164579996665,3,1,-2.1523489476889447e-06,-3.4768713770359874e-06
1.0017819789973146,0,0,0.0,0.0
1.5023220160001074,0,0,0.0,0.0
2.0022281729980023,0,0,0.0,0.0
2.5038321779975377,0,0,0.0,0.0
3.002382643000601,0,0,0.0,0.0
3.5024696929976926,0,0,0.0,0.0
4.002419853997708,0,0,0.0,0.0
4.501877981998405,0,0,0.0,0.0
5.001948411998455,0,0,0.0,0.0
5.502517442000681,0,0,0.0,0.0
6.001703051999357,0,0,0.0,0.0
6.502939138998045,0,0,0.0,0.0
7.042114176998439,0,0,0.0,0.0
7.506012162997649,0,0,0.0,0.0
8.006443260997912,0,0,0.0,0.0
8.502261956997245,0,0,0.0,0.0
9.001964538998436,0,0,0.0,0.0
9.50184996799726,0,0,0.0,0.0
10.002179588998843,0,0,0.0,0.0
10.501911927000037,0,0,0.0,0.0
11.002046412999334,0,0,0.0,0.0
11.503318128998217,0,0,0.0,0.0
12.00332885899843,0,0,0.0,0.0
12.501804682000511,0,0,0.0,0.0
13.001695005998045,0,0,0.0,0.0
13.502115217997925,0,0,0.0,0.0
14.002242935999675,0,0,0.0,0.0
14.502688013999432,0,0,0.0,0.0
15.004080352999154,0,0,0.0,0.0
15.502338905000215,0,0,0.0,0.0
16.00182387499808,0,0,0.0,0.0
16.502342219999264,0,0,0.0,0.0
17.002862662000553,0,0,0.0,0.0
17.501802242997655,0,0,0.0,0.0
18.00226394999845,0,0,0.0,0.0
18.5025460249999,0,0,0.0,0.0
19.002895637997426,0,0,0.0,0.0
19.502495922999515,0,0,0.0,0.0
20.002106963998813,0,0,0.0,0.0
20.502174351000576,0,0,0.0,0.0
21.002398043998255,0,0,0.0,0.0
21.502744518998952,0,0,0.0,0.0
